sku_id,product_name,category,list_price,reorder_point
270,Pen Holder 170,Lighting,450,97
271,Table Lamp 171,Electronics,900,43
272,Wall Clock 172,Stationery,900,61
273,Whiteboard 173,Storage,1800,40
274,Printer Stand 174,Office Supplies,2200,95
275,Office Desk 175,Accessories,450,33
276,Storage Box 176,Home Decor,850,23
277,Laptop Stand 177,Furniture,600,55
278,Desk Organizer 178,Lighting,2200,100
279,Conference Chair 179,Electronics,450,92
280,Drawer Unit 180,Stationery,350,80
281,Office Chair 181,Storage,1500,92
282,Study Table 182,Office Supplies,550,92
283,Desk Lamp 183,Accessories,350,62
284,Bookshelf 184,Home Decor,750,45
285,Monitor Stand 185,Furniture,250,82
286,Keyboard 186,Lighting,600,73
287,Mouse 187,Electronics,700,50
288,Notebook 188,Stationery,1800,27
289,File Cabinet 189,Storage,1200,80
290,Pen Holder 190,Office Supplies,700,41
291,Table Lamp 191,Accessories,250,95
292,Wall Clock 192,Home Decor,2200,39
293,Whiteboard 193,Furniture,250,29
294,Printer Stand 194,Lighting,250,87
295,Office Desk 195,Electronics,1800,32
296,Storage Box 196,Stationery,1200,34
297,Laptop Stand 197,Storage,700,68
298,Desk Organizer 198,Office Supplies,1200,90
299,Conference Chair 199,Accessories,250,35
300,Drawer Unit 200,Home Decor,550,45
301,Office Chair 201,Furniture,2200,82
302,Study Table 202,Lighting,600,98
303,Desk Lamp 203,Electronics,750,60
304,Bookshelf 204,Stationery,750,31
305,Monitor Stand 205,Storage,2200,21
306,Keyboard 206,Office Supplies,450,38
307,Mouse 207,Accessories,550,30
308,Notebook 208,Home Decor,250,74
309,File Cabinet 209,Furniture,2200,29
310,Pen Holder 210,Lighting,600,61
311,Table Lamp 211,Electronics,1800,76
312,Wall Clock 212,Stationery,1200,67
313,Whiteboard 213,Storage,700,36
314,Printer Stand 214,Office Supplies,1800,85
315,Office Desk 215,Accessories,250,77
316,Storage Box 216,Home Decor,350,79
317,Laptop Stand 217,Furniture,1500,30
318,Desk Organizer 218,Lighting,750,30
319,Conference Chair 219,Electronics,850,95
320,Drawer Unit 220,Stationery,350,52
321,Office Chair 221,Storage,2200,44
322,Study Table 222,Office Supplies,350,59
323,Desk Lamp 223,Accessories,850,73
324,Bookshelf 224,Home Decor,600,97
325,Monitor Stand 225,Furniture,850,43
326,Keyboard 226,Lighting,2200,94
327,Mouse 227,Electronics,750,22
328,Notebook 228,Stationery,900,64
329,File Cabinet 229,Storage,450,71
330,Pen Holder 230,Office Supplies,1500,28
331,Table Lamp 231,Accessories,1200,31
332,Wall Clock 232,Home Decor,1200,53
333,Whiteboard 233,Furniture,250,98
334,Printer Stand 234,Lighting,450,68
335,Office Desk 235,Electronics,450,95
336,Storage Box 236,Stationery,1200,85
337,Laptop Stand 237,Storage,750,57
338,Desk Organizer 238,Office Supplies,900,83
339,Conference Chair 239,Accessories,1500,21
340,Drawer Unit 240,Home Decor,999,28
341,Office Chair 241,Furniture,600,87
342,Study Table 242,Lighting,550,84
343,Desk Lamp 243,Electronics,750,38
344,Bookshelf 244,Stationery,600,62
345,Monitor Stand 245,Storage,1200,69
346,Keyboard 246,Office Supplies,2200,90
347,Mouse 247,Accessories,1200,68
348,Notebook 248,Home Decor,600,53
349,File Cabinet 249,Furniture,350,50
350,Pen Holder 250,Lighting,1800,54
351,Table Lamp 251,Electronics,350,72
352,Wall Clock 252,Stationery,2200,90
353,Whiteboard 253,Storage,550,56
354,Printer Stand 254,Office Supplies,850,40
355,Office Desk 255,Accessories,550,39
356,Storage Box 256,Home Decor,2200,80
357,Laptop Stand 257,Furniture,1500,86
358,Desk Organizer 258,Lighting,2200,28
359,Conference Chair 259,Electronics,1800,25
360,Drawer Unit 260,Stationery,750,68
361,Office Chair 261,Storage,700,31
362,Study Table 262,Office Supplies,450,86
363,Desk Lamp 263,Accessories,600,45
364,Bookshelf 264,Home Decor,1800,31
365,Monitor Stand 265,Furniture,1800,94
366,Keyboard 266,Lighting,900,33
367,Mouse 267,Electronics,450,43
368,Notebook 268,Stationery,900,32
369,File Cabinet 269,Storage,750,29
370,Pen Holder 270,Office Supplies,850,21
371,Table Lamp 271,Accessories,999,24
372,Wall Clock 272,Home Decor,450,34
373,Whiteboard 273,Furniture,1500,24
374,Printer Stand 274,Lighting,750,67
375,Office Desk 275,Electronics,850,75
376,Storage Box 276,Stationery,1500,51
377,Laptop Stand 277,Storage,1500,45
378,Desk Organizer 278,Office Supplies,2200,60
379,Conference Chair 279,Accessories,1200,90
380,Drawer Unit 280,Home Decor,1500,88
381,Office Chair 281,Furniture,850,23
382,Study Table 282,Lighting,750,34
383,Desk Lamp 283,Electronics,1800,39
384,Bookshelf 284,Stationery,550,40
385,Monitor Stand 285,Storage,900,66
386,Keyboard 286,Office Supplies,2200,53
387,Mouse 287,Accessories,550,23
388,Notebook 288,Home Decor,250,50
389,File Cabinet 289,Furniture,1800,62
390,Pen Holder 290,Lighting,1800,28
391,Table Lamp 291,Electronics,350,87
392,Wall Clock 292,Stationery,350,24
393,Whiteboard 293,Storage,700,94
394,Printer Stand 294,Office Supplies,999,28
395,Office Desk 295,Accessories,1500,88
396,Storage Box 296,Home Decor,1500,93
397,Laptop Stand 297,Furniture,550,99
398,Desk Organizer 298,Lighting,600,84
399,Conference Chair 299,Electronics,900,83
400,Drawer Unit 300,Stationery,900,72
401,Office Chair 301,Storage,900,83
402,Study Table 302,Office Supplies,1200,30
403,Desk Lamp 303,Accessories,1500,63
404,Bookshelf 304,Home Decor,600,61
405,Monitor Stand 305,Furniture,2200,89
406,Keyboard 306,Lighting,1500,57
407,Mouse 307,Electronics,1200,51
408,Notebook 308,Stationery,999,71
409,File Cabinet 309,Storage,550,41
410,Pen Holder 310,Office Supplies,250,31
411,Table Lamp 311,Accessories,750,58
412,Wall Clock 312,Home Decor,450,53
413,Whiteboard 313,Furniture,900,38
414,Printer Stand 314,Lighting,600,49
415,Office Desk 315,Electronics,850,49
416,Storage Box 316,Stationery,1200,46
417,Laptop Stand 317,Storage,750,50
418,Desk Organizer 318,Office Supplies,450,75
419,Conference Chair 319,Accessories,550,44
420,Drawer Unit 320,Home Decor,1500,96
421,Office Chair 321,Furniture,999,94
422,Study Table 322,Lighting,1500,58
423,Desk Lamp 323,Electronics,1200,46
424,Bookshelf 324,Stationery,750,63
425,Monitor Stand 325,Storage,2200,88
426,Keyboard 326,Office Supplies,750,72
427,Mouse 327,Accessories,450,85
428,Notebook 328,Home Decor,850,63
429,File Cabinet 329,Furniture,1200,71
430,Pen Holder 330,Lighting,350,43
431,Table Lamp 331,Electronics,450,79
432,Wall Clock 332,Stationery,250,36
433,Whiteboard 333,Storage,900,76
434,Printer Stand 334,Office Supplies,850,89
435,Office Desk 335,Accessories,1800,30
436,Storage Box 336,Home Decor,2200,69
437,Laptop Stand 337,Furniture,900,27
438,Desk Organizer 338,Lighting,900,78
439,Conference Chair 339,Electronics,900,26
440,Drawer Unit 340,Stationery,850,95
441,Office Chair 341,Storage,1200,31
442,Study Table 342,Office Supplies,2200,97
443,Desk Lamp 343,Accessories,450,84
444,Bookshelf 344,Home Decor,700,68
445,Monitor Stand 345,Furniture,750,83
446,Keyboard 346,Lighting,2200,84
447,Mouse 347,Electronics,2200,96
448,Notebook 348,Stationery,350,40
449,File Cabinet 349,Storage,1200,67
450,Pen Holder 350,Office Supplies,250,27
451,Table Lamp 351,Accessories,850,69
452,Wall Clock 352,Home Decor,450,33
453,Whiteboard 353,Furniture,350,65
454,Printer Stand 354,Lighting,250,66
455,Office Desk 355,Electronics,750,57
456,Storage Box 356,Stationery,999,62
457,Laptop Stand 357,Storage,1200,81
458,Desk Organizer 358,Office Supplies,1800,84
459,Conference Chair 359,Accessories,850,59
460,Drawer Unit 360,Home Decor,550,68
461,Office Chair 361,Furniture,350,95
462,Study Table 362,Lighting,1500,29
463,Desk Lamp 363,Electronics,1500,29
464,Bookshelf 364,Stationery,1200,27
465,Monitor Stand 365,Storage,750,73
466,Keyboard 366,Office Supplies,1200,53
467,Mouse 367,Accessories,1800,82
468,Notebook 368,Home Decor,450,74
469,File Cabinet 369,Furniture,1200,47
470,Pen Holder 370,Lighting,1200,92
471,Table Lamp 371,Electronics,1500,81
472,Wall Clock 372,Stationery,900,41
473,Whiteboard 373,Storage,1500,49
474,Printer Stand 374,Office Supplies,850,45
475,Office Desk 375,Accessories,600,32
476,Storage Box 376,Home Decor,2200,31
477,Laptop Stand 377,Furniture,350,95
478,Desk Organizer 378,Lighting,850,55
479,Conference Chair 379,Electronics,1200,51
480,Drawer Unit 380,Stationery,350,79
481,Office Chair 381,Storage,450,64
482,Study Table 382,Office Supplies,2200,95
483,Desk Lamp 383,Accessories,700,83
484,Bookshelf 384,Home Decor,900,58
485,Monitor Stand 385,Furniture,350,50
486,Keyboard 386,Lighting,999,99
487,Mouse 387,Electronics,250,78
488,Notebook 388,Stationery,1500,97
489,File Cabinet 389,Storage,700,29
490,Pen Holder 390,Office Supplies,550,88
491,Table Lamp 391,Accessories,1800,71
492,Wall Clock 392,Home Decor,350,29
493,Whiteboard 393,Furniture,750,67
494,Printer Stand 394,Lighting,250,75
495,Office Desk 395,Electronics,850,20
496,Storage Box 396,Stationery,350,56
497,Laptop Stand 397,Storage,1200,86
498,Desk Organizer 398,Office Supplies,750,43
499,Conference Chair 399,Accessories,2200,57
500,Drawer Unit 400,Home Decor,600,55
501,Office Chair 401,Furniture,250,44
502,Study Table 402,Lighting,850,94
503,Desk Lamp 403,Electronics,1200,83
504,Bookshelf 404,Stationery,850,28
505,Monitor Stand 405,Storage,700,100
506,Keyboard 406,Office Supplies,250,91
507,Mouse 407,Accessories,999,42
508,Notebook 408,Home Decor,1200,87
509,File Cabinet 409,Furniture,250,28
510,Pen Holder 410,Lighting,999,100
511,Table Lamp 411,Electronics,250,73
512,Wall Clock 412,Stationery,350,72
513,Whiteboard 413,Storage,900,27
514,Printer Stand 414,Office Supplies,999,92
515,Office Desk 415,Accessories,1800,22
516,Storage Box 416,Home Decor,550,39
517,Laptop Stand 417,Furniture,750,31
518,Desk Organizer 418,Lighting,1500,82
519,Conference Chair 419,Electronics,1500,36
520,Drawer Unit 420,Stationery,250,93
521,Office Chair 421,Storage,600,73
522,Study Table 422,Office Supplies,1800,22
523,Desk Lamp 423,Accessories,250,20
524,Bookshelf 424,Home Decor,450,24
525,Monitor Stand 425,Furniture,1500,69
526,Keyboard 426,Lighting,2200,84
527,Mouse 427,Electronics,2200,39
528,Notebook 428,Stationery,600,88
529,File Cabinet 429,Storage,550,24
530,Pen Holder 430,Office Supplies,999,84
531,Table Lamp 431,Accessories,2200,95
532,Wall Clock 432,Home Decor,350,82
533,Whiteboard 433,Furniture,1500,76
534,Printer Stand 434,Lighting,1500,87
535,Office Desk 435,Electronics,750,23
536,Storage Box 436,Stationery,750,36
537,Laptop Stand 437,Storage,350,30
538,Desk Organizer 438,Office Supplies,999,60
539,Conference Chair 439,Accessories,850,80
540,Drawer Unit 440,Home Decor,850,71
541,Office Chair 441,Furniture,350,88
542,Study Table 442,Lighting,750,32
543,Desk Lamp 443,Electronics,1500,79
544,Bookshelf 444,Stationery,250,35
545,Monitor Stand 445,Storage,250,41
546,Keyboard 446,Office Supplies,350,77
547,Mouse 447,Accessories,850,99
548,Notebook 448,Home Decor,1200,69
549,File Cabinet 449,Furniture,850,24
550,Pen Holder 450,Lighting,250,69
551,Table Lamp 451,Electronics,250,23
552,Wall Clock 452,Stationery,550,91
553,Whiteboard 453,Storage,750,77
554,Printer Stand 454,Office Supplies,700,34
555,Office Desk 455,Accessories,700,27
556,Storage Box 456,Home Decor,1200,34
557,Laptop Stand 457,Furniture,700,99
558,Desk Organizer 458,Lighting,900,57
559,Conference Chair 459,Electronics,850,83
560,Drawer Unit 460,Stationery,550,71
561,Office Chair 461,Storage,1800,66
562,Study Table 462,Office Supplies,750,31
563,Desk Lamp 463,Accessories,550,96
564,Bookshelf 464,Home Decor,850,44
565,Monitor Stand 465,Furniture,700,66
566,Keyboard 466,Lighting,850,76
567,Mouse 467,Electronics,550,72
568,Notebook 468,Stationery,750,96
569,File Cabinet 469,Storage,450,32
570,Pen Holder 470,Office Supplies,750,61
571,Table Lamp 471,Accessories,999,52
572,Wall Clock 472,Home Decor,1800,58
573,Whiteboard 473,Furniture,350,29
574,Printer Stand 474,Lighting,2200,30
575,Office Desk 475,Electronics,2200,42
576,Storage Box 476,Stationery,350,44
577,Laptop Stand 477,Storage,900,54
578,Desk Organizer 478,Office Supplies,1200,69
579,Conference Chair 479,Accessories,700,71
580,Drawer Unit 480,Home Decor,2200,53
581,Office Chair 481,Furniture,450,53
582,Study Table 482,Lighting,1500,37
583,Desk Lamp 483,Electronics,2200,67
584,Bookshelf 484,Stationery,900,45
585,Monitor Stand 485,Storage,1800,22
586,Keyboard 486,Office Supplies,600,53
587,Mouse 487,Accessories,750,58
588,Notebook 488,Home Decor,450,38
589,File Cabinet 489,Furniture,350,66
590,Pen Holder 490,Lighting,600,65
591,Table Lamp 491,Electronics,900,76
592,Wall Clock 492,Stationery,850,72
593,Whiteboard 493,Storage,900,72
594,Printer Stand 494,Office Supplies,900,45
595,Office Desk 495,Accessories,550,83
596,Storage Box 496,Home Decor,600,64
597,Laptop Stand 497,Furniture,450,54
598,Desk Organizer 498,Lighting,850,70
599,Conference Chair 499,Electronics,850,49
600,Drawer Unit 500,Stationery,2200,61
